Wall time,Step,Value
1669398077.449361,9,114.91840362548828
1669398111.631835,19,64.53086853027344
1669398145.9971473,29,52.93506622314453
1669398180.1830683,39,46.86118698120117
1669398214.4241626,49,41.70518493652344
1669398248.4816604,59,38.79981231689453
1669398283.0779788,69,36.52007293701172
1669398317.0908513,79,34.89812469482422
1669398351.4972365,89,32.560203552246094
1669398386.0403333,99,33.07002258300781
1669398420.498022,109,31.157447814941406
1669398454.4224284,119,30.694791793823242
1669398488.5948217,129,30.79496955871582
1669398522.9862075,139,30.460472106933594
1669398557.2868233,149,29.691612243652344
1669398591.4012232,159,26.831031799316406
1669398625.1608315,169,27.241315841674805
1669398659.232552,179,27.337053298950195
1669398693.8233051,189,27.064128875732422
1669398727.750602,199,27.308053970336914
1669398761.6529262,209,24.90276336669922
1669398796.0058239,219,25.026134490966797
1669398829.93588,229,25.424365997314453
1669398864.4201882,239,23.312658309936523
1669398898.6851494,249,24.045738220214844
1669398933.0993814,259,24.83136558532715
1669398967.033649,269,23.91496467590332
1669399001.1416585,279,23.55815887451172
1669399035.2536948,289,23.345294952392578
1669399069.4354951,299,22.24934959411621
1669399103.5478516,309,22.740385055541992
1669399137.5576165,319,22.73362922668457
1669399171.4617527,329,21.917177200317383
1669399206.6648812,339,21.707313537597656
1669399242.4469469,349,21.635562896728516
1669399276.3070245,359,21.16733169555664
1669399310.5266106,369,21.476829528808594
1669399344.264658,379,20.860624313354492
1669399378.0904355,389,21.320329666137695
1669399411.878241,399,21.539958953857422
1669399445.793578,409,20.677446365356445
1669399481.684669,419,19.838590621948242
1669399515.1943786,429,19.552066802978516
1669399550.1033657,439,18.49679946899414
1669399584.4608133,449,19.334857940673828
1669399618.285451,459,18.99376678466797
1669399652.0199502,469,19.787622451782227
1669399685.800155,479,18.99939727783203
1669399719.3378127,489,17.87877655029297
1669399753.030776,499,18.190217971801758
1669399786.7611427,509,19.52650260925293
1669399821.7541313,519,18.250858306884766
1669399855.594765,529,17.582834243774414
1669399889.3386168,539,17.95372772216797
1669399923.0740457,549,16.866838455200195
1669399958.0866337,559,18.28351402282715
1669399991.6483471,569,16.7468318939209
1669400025.688583,579,16.732315063476562
1669400059.5090125,589,17.1024112701416
1669400093.1456852,599,16.528379440307617
1669400127.4813883,609,16.883047103881836
1669400161.0742412,619,16.78502082824707
1669400194.7567818,629,16.620431900024414
1669400228.2928598,639,15.995002746582031
1669400261.9438016,649,15.978036880493164
1669400296.0274498,659,15.933290481567383
1669400330.1061704,669,16.619182586669922
1669400364.1792483,679,16.059865951538086
1669400398.042524,689,16.115192413330078
1669400432.1300619,699,15.902482032775879
1669400465.722686,709,15.693318367004395
1669400499.6519353,719,16.21031951904297
1669400533.2883704,729,15.344245910644531
1669400567.302896,739,15.571621894836426
1669400601.327804,749,16.208961486816406
1669400634.8384101,759,15.027209281921387
1669400668.6154795,769,14.956109046936035
1669400702.3192642,779,14.441222190856934
1669400736.2361841,789,14.681221961975098
1669400770.1148298,799,14.203582763671875
1669400803.8999946,809,14.61457347869873
1669400837.2876954,819,14.71996784210205
1669400871.4454997,829,14.297739028930664
1669400905.367027,839,13.815372467041016
1669400939.4480414,849,14.755805015563965
1669400973.5670128,859,15.10283374786377
1669401007.3374147,869,14.422513961791992
1669401041.06237,879,14.872802734375
1669401074.5762718,889,14.63754653930664
1669401108.2138143,899,14.39357852935791
1669401142.2308428,909,13.995767593383789
1669401175.4564552,919,13.638707160949707
1669401209.3906004,929,12.93724250793457
1669401243.214348,939,12.945881843566895
1669401276.719826,949,13.524382591247559
1669401310.2954946,959,13.859100341796875
1669401344.0527232,969,13.610411643981934
1669401377.7640386,979,13.20045280456543
1669401411.4835024,989,13.826314926147461
1669401444.9653306,999,13.747471809387207
