Wall time,Step,Value
1669560185.084946,19,1186.595458984375
1669560215.326237,39,598.9288330078125
1669560245.8357801,59,531.2243041992188
1669560276.9848502,79,526.4841918945312
1669560308.2301397,99,498.6852111816406
1669560339.5039446,119,488.99188232421875
1669560370.4897509,139,486.5700988769531
1669560401.5786736,159,499.652099609375
1669560433.3144534,179,478.7140197753906
1669560464.093449,199,472.7999267578125
1669560496.9412878,219,443.8638916015625
1669560528.351777,239,450.4482421875
1669560559.5732903,259,471.2484130859375
1669560591.4052448,279,427.1097717285156
1669560622.5579941,299,426.4562683105469
1669560654.2173793,319,404.0210876464844
1669560685.851493,339,433.87225341796875
1669560716.8521435,359,426.0700988769531
1669560747.7236621,379,417.6437072753906
1669560779.0870378,399,438.75927734375
1669560810.8574157,419,404.027587890625
1669560842.2679574,439,395.1535339355469
1669560873.3065262,459,419.8755187988281
1669560904.4080005,479,401.859619140625
1669560935.8513618,499,395.9022521972656
1669560967.3829546,519,393.6463928222656
1669560998.6234853,539,406.9064636230469
1669561029.7893043,559,408.4892578125
1669561061.3447797,579,434.4512023925781
1669561092.5101287,599,431.6264343261719
1669561123.7520053,619,412.4326171875
1669561154.775223,639,401.95635986328125
1669561185.9486222,659,435.5876770019531
1669561216.9165618,679,386.63934326171875
1669561248.2982507,699,393.2326354980469
1669561279.6678329,719,396.5162658691406
1669561310.5803852,739,384.52313232421875
1669561341.647043,759,391.2791748046875
1669561372.797218,779,382.7773132324219
1669561403.8922374,799,377.73089599609375
1669561435.284901,819,413.5290832519531
1669561466.4106257,839,392.8471374511719
1669561497.7558072,859,394.4179992675781
1669561528.8991377,879,378.3864440917969
1669561560.0869281,899,369.1573791503906
1669561591.5265799,919,375.44683837890625
1669561622.6234858,939,400.1095886230469
1669561654.2061934,959,391.5213317871094
1669561685.4068675,979,378.5469970703125
1669561716.742278,999,394.9210510253906
1669561747.8792331,1019,384.5731201171875
1669561779.038152,1039,369.1894836425781
1669561810.1264088,1059,365.8328552246094
1669561841.8694913,1079,378.339599609375
1669561873.7984278,1099,354.1356201171875
1669561905.1333523,1119,362.38287353515625
1669561936.5287154,1139,370.3218688964844
1669561967.8975685,1159,360.04705810546875
1669561999.42107,1179,367.30462646484375
1669562030.8944395,1199,393.84454345703125
1669562061.5667157,1219,378.6049499511719
1669562092.8722327,1239,372.11712646484375
1669562124.5161672,1259,387.4417724609375
1669562155.783054,1279,357.05560302734375
1669562187.4257712,1299,359.2860412597656
1669562218.7762005,1319,353.3263854980469
1669562249.738088,1339,376.74102783203125
1669562281.095878,1359,362.2118225097656
1669562311.6555846,1379,372.4825744628906
1669562343.2271214,1399,386.3793029785156
1669562374.4779358,1419,379.51580810546875
1669562406.1734319,1439,381.2419128417969
1669562437.3179877,1459,361.96160888671875
1669562468.854667,1479,357.92767333984375
1669562499.9531555,1499,366.2856750488281
1669562531.1764019,1519,356.9648132324219
1669562562.6288984,1539,343.6065673828125
1669562594.1049778,1559,357.36798095703125
1669562625.326116,1579,359.48321533203125
1669562656.8047504,1599,357.44549560546875
1669562688.0561905,1619,345.43072509765625
1669562718.7723203,1639,345.2566833496094
1669562749.8743606,1659,346.5669250488281
1669562780.893659,1679,350.9637451171875
1669562812.2049863,1699,351.60601806640625
1669562843.6758761,1719,352.57818603515625
1669562875.1500447,1739,344.0521240234375
1669562906.5743115,1759,341.5856018066406
1669562937.1075976,1779,350.0853576660156
1669562968.4357235,1799,352.85540771484375
1669563000.1158535,1819,343.0948486328125
1669563031.082546,1839,380.6488037109375
1669563062.0330555,1859,354.2553405761719
1669563093.7271,1879,346.8006286621094
1669563125.3966343,1899,343.86370849609375
1669563156.8790019,1919,358.23309326171875
1669563188.1217728,1939,349.71881103515625
1669563219.6809275,1959,332.45770263671875
1669563250.7835896,1979,328.3901672363281
1669563282.008112,1999,337.3151550292969
