Wall time,Step,Value
1669563487.7708206,19,2430.550048828125
1669563518.4153113,39,953.9418334960938
1669563549.6632402,59,824.101806640625
1669563580.9889078,79,764.7306518554688
1669563612.7259827,99,758.5296020507812
1669563643.9704647,119,726.604736328125
1669563676.3102138,139,788.75439453125
1669563708.2241697,159,665.6478271484375
1669563739.9708467,179,612.8553466796875
1669563771.4962127,199,640.2581176757812
1669563802.9732645,219,637.7711791992188
1669563834.2020164,239,668.0476684570312
1669563865.8748474,259,632.5579833984375
1669563897.3925505,279,561.69873046875
1669563929.4381163,299,543.146484375
1669563960.9824834,319,502.9386291503906
1669563992.6608791,339,482.03240966796875
1669564024.194604,359,528.4647827148438
1669564056.114336,379,546.436767578125
1669564088.0285175,399,504.0262756347656
1669564119.4663754,419,459.9033203125
1669564150.8461509,439,480.7781066894531
1669564182.443101,459,543.6563720703125
1669564213.749517,479,495.8871765136719
1669564245.306387,499,504.1665954589844
1669564277.1632378,519,513.4353637695312
1669564309.116099,539,514.796630859375
1669564340.2469385,559,533.5845336914062
1669564371.876968,579,528.3108520507812
1669564403.3805957,599,550.0374145507812
1669564435.8731318,619,521.6043701171875
1669564467.6542792,639,475.0939636230469
1669564499.7106376,659,527.435302734375
1669564531.865594,679,473.1902770996094
1669564563.0140224,699,512.1190185546875
1669564594.4434493,719,488.4400939941406
1669564625.9583447,739,507.4599304199219
1669564657.486912,759,474.8271179199219
1669564689.0758545,779,463.75457763671875
1669564720.8329616,799,443.1838073730469
1669564751.5355897,819,512.817626953125
1669564782.8683848,839,467.0574645996094
1669564814.4589221,859,490.89117431640625
1669564846.2889152,879,461.65716552734375
1669564877.7150145,899,438.8158874511719
1669564909.0138729,919,455.8962097167969
1669564940.2969654,939,448.83465576171875
1669564972.018444,959,470.1960754394531
1669565003.5902832,979,458.4021911621094
1669565035.3743086,999,462.7355041503906
1669565066.9940317,1019,455.02642822265625
1669565099.254957,1039,488.4187927246094
1669565130.8267672,1059,454.8196105957031
1669565162.0985951,1079,461.5421447753906
1669565193.6366205,1099,437.16534423828125
1669565225.0808856,1119,452.5697021484375
1669565256.6913815,1139,441.8427734375
1669565288.223598,1159,429.0428771972656
1669565322.0295098,1179,439.30828857421875
1669565354.104236,1199,455.9017333984375
1669565385.7965515,1219,456.83013916015625
1669565417.5535898,1239,461.0518493652344
1669565449.1741548,1259,497.86053466796875
1669565481.4878814,1279,446.9178771972656
1669565512.8371322,1299,449.2237243652344
1669565543.8932598,1319,410.74505615234375
1669565575.7304358,1339,447.2567443847656
1669565607.433546,1359,444.62921142578125
1669565638.6535153,1379,507.5032958984375
1669565670.0208337,1399,527.0548095703125
1669565701.796578,1419,464.0216979980469
1669565733.5516295,1439,509.8509521484375
1669565764.684251,1459,469.0758361816406
1669565796.4381874,1479,445.69012451171875
1669565827.6458123,1499,466.3291931152344
1669565859.2273262,1519,439.25177001953125
1669565890.990344,1539,440.57269287109375
1669565922.1339817,1559,424.3014221191406
1669565953.6416993,1579,423.379150390625
1669565985.2526424,1599,408.7535705566406
1669566016.951854,1619,420.8872985839844
1669566048.5023088,1639,420.4562072753906
1669566079.8608985,1659,422.7664489746094
1669566110.7967503,1679,421.7286682128906
1669566142.4168565,1699,449.62371826171875
1669566173.7090235,1719,426.2047424316406
1669566205.2311237,1739,416.5588684082031
1669566236.9398015,1759,405.4624328613281
1669566268.5719454,1779,439.4737243652344
1669566300.5846772,1799,461.9422302246094
1669566332.1278474,1819,425.9139099121094
1669566363.573253,1839,471.7841491699219
1669566395.205566,1859,435.29925537109375
1669566427.0166,1879,478.5626525878906
1669566458.1828601,1899,488.0845642089844
1669566489.351198,1919,480.6420593261719
1669566520.909902,1939,453.17584228515625
1669566551.9168751,1959,433.1921081542969
1669566583.5034707,1979,423.43560791015625
1669566614.8349802,1999,406.6052551269531
