Wall time,Step,Value
1669743102.401611,3999,1.0616240501403809
1669745097.091452,7999,1.0412464141845703
1669747092.1366563,11999,1.0444517135620117
1669749086.743583,15999,1.0438371896743774
1669751081.6351457,19999,1.0461779832839966
1669753077.0000947,23999,1.0461221933364868
1669755072.2091835,27999,1.0476652383804321
1669757066.936293,31999,1.0511748790740967
1669759062.5840883,35999,1.050894856452942
1669761056.9484966,39999,1.0536268949508667
1669763052.2669594,43999,1.0553865432739258
1669765047.3438518,47999,1.057171106338501
1669767042.0247827,51999,1.0546832084655762
1669769036.7116446,55999,1.0583126544952393
1669771032.2866337,59999,1.057881474494934
1669773027.1761804,63999,1.057314157485962
1669775023.2127416,67999,1.0635544061660767
1669777018.9843268,71999,1.058899998664856
1669779014.3474438,75999,1.0605732202529907
1669781010.211296,79999,1.0633937120437622
