Wall time,Step,Value
1669422864.765977,9,1767.3048095703125
1669422898.4937544,19,906.4125366210938
1669422932.1158774,29,721.1095581054688
1669422965.7472131,39,634.251953125
1669422999.628768,49,563.4196166992188
1669423033.197557,59,532.312744140625
1669423066.8722107,69,489.10577392578125
1669423100.4622436,79,475.734619140625
1669423134.1143267,89,437.1128234863281
1669423167.89621,99,423.38787841796875
1669423201.9262755,109,408.27178955078125
1669423235.6054885,119,398.5473937988281
1669423269.3573833,129,406.1585693359375
1669423303.0639546,139,385.380126953125
1669423336.914626,149,371.46392822265625
1669423370.6102145,159,370.1611633300781
1669423404.2982502,169,359.4222412109375
1669423438.419177,179,351.3904724121094
1669423471.7449381,189,350.15985107421875
1669423505.302221,199,362.45111083984375
1669423538.9424381,209,327.94091796875
1669423572.52889,219,318.5279541015625
1669423605.8333156,229,319.7814636230469
1669423639.1884375,239,306.3946228027344
1669423672.6346443,249,309.5695495605469
1669423706.071039,259,320.4077453613281
1669423739.5961173,269,314.0182800292969
1669423773.2360198,279,306.1811218261719
1669423806.896697,289,302.19720458984375
1669423840.6723397,299,284.5243225097656
1669423873.989874,309,292.3133239746094
1669423907.652299,319,281.8178405761719
1669423941.3165715,329,292.25048828125
1669423974.6083257,339,269.35198974609375
1669424008.0541668,349,256.6667175292969
1669424041.4952753,359,255.93466186523438
1669424074.5686092,369,248.7498016357422
1669424108.1378593,379,258.030517578125
1669424141.706159,389,234.50477600097656
1669424175.3574758,399,246.80316162109375
1669424208.5918326,409,238.51950073242188
1669424242.2410846,419,239.30419921875
1669424275.36947,429,246.2814483642578
1669424308.6091938,439,221.54037475585938
1669424342.0166593,449,237.9595184326172
1669424375.2327971,459,229.5611572265625
1669424408.850824,469,240.80479431152344
1669424442.5439515,479,228.6978302001953
1669424476.3432565,489,232.80245971679688
1669424509.6705527,499,222.60772705078125
1669424542.962593,509,230.4822998046875
1669424576.4053638,519,223.27310180664062
1669424610.016518,529,214.64682006835938
1669424643.2532027,539,227.02723693847656
1669424676.7863216,549,221.10467529296875
1669424710.0470371,559,212.9473419189453
1669424743.4163003,569,212.58895874023438
1669424777.0842307,579,217.15414428710938
1669424810.4743207,589,214.03102111816406
1669424843.8349645,599,211.05252075195312
1669424877.0823526,609,234.5716094970703
1669424910.6151464,619,221.40853881835938
1669424944.412829,629,217.39344787597656
1669424977.5849993,639,212.58567810058594
1669425011.0691702,649,209.6435089111328
1669425044.5601323,659,204.62782287597656
1669425077.749061,669,205.03883361816406
1669425110.9433694,679,198.6340789794922
1669425144.699357,689,203.7504425048828
1669425177.9974844,699,207.44590759277344
1669425211.0941222,709,208.17596435546875
1669425244.4926789,719,210.0464630126953
1669425277.8468912,729,212.32534790039062
1669425311.3121698,739,207.0695037841797
1669425344.8297875,749,217.18646240234375
1669425378.3005526,759,206.31260681152344
1669425411.6026123,769,199.84576416015625
1669425444.8866603,779,199.7357940673828
1669425478.0007164,789,194.33822631835938
1669425511.4272325,799,195.0749053955078
1669425544.7742686,809,188.49493408203125
1669425577.939575,819,195.32455444335938
1669425611.4498703,829,199.67091369628906
1669425645.011773,839,191.98756408691406
1669425678.1425211,849,197.75045776367188
1669425711.4328258,859,200.0361328125
1669425744.7299042,869,189.67889404296875
1669425778.2714698,879,181.07057189941406
1669425811.5598888,889,184.06735229492188
1669425844.7016475,899,186.8394775390625
1669425877.8204994,909,191.21148681640625
1669425911.2057586,919,188.53952026367188
1669425944.4560804,929,180.08175659179688
1669425977.7029614,939,186.09762573242188
1669426011.111248,949,182.01095581054688
1669426044.7382476,959,181.4560546875
1669426078.0166337,969,181.05490112304688
1669426111.4156406,979,182.90953063964844
1669426144.6194813,989,185.7318572998047
1669426177.9473388,999,182.36219787597656
